loosing_hero_id_1,loosing_hero_id_2,loosing_hero_id_3,loosing_hero_id_4,loosing_hero_id_5,winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
18,28,43,75,84,60,71,74,87,93
47,72,78,86,107,11,12,30,38,51
21,51,65,71,73,13,63,66,80,89
11,26,83,93,110,8,22,33,90,97
15,16,21,26,99,7,11,47,93,102
14,45,47,69,96,7,15,77,98,101
20,25,46,48,51,17,85,87,91,99
10,16,30,45,74,2,9,85,86,89
13,50,102,103,106,12,26,33,38,74
36,40,51,56,84,8,11,31,69,99
17,65,66,80,88,21,62,77,81,91
20,30,40,41,65,22,33,64,77,101
20,47,57,93,99,27,35,39,71,85
3,9,31,43,73,34,51,54,66,86
5,46,65,93,102,9,16,25,55,79
19,40,55,86,95,21,48,60,66,88
36,39,40,69,102,31,34,42,47,51
7,12,38,68,98,18,54,94,103,110
20,42,51,74,87,8,13,27,28,68
7,11,12,26,30,14,15,21,85,92
9,16,53,72,78,2,6,15,92,101
49,50,75,76,80,21,36,41,81,86
5,34,54,65,75,7,25,27,70,104
15,31,46,47,102,14,26,40,63,99
37,63,81,87,106,5,20,74,86,110
2,25,57,95,101,10,20,21,28,50
17,28,62,85,86,3,50,52,61,72
7,13,44,51,92,3,53,58,74,93
17,35,52,71,81,26,32,44,83,86
11,53,54,64,85,5,43,63,69,73
1,33,39,70,84,7,8,21,85,102
25,31,67,87,99,13,37,40,46,92
21,27,47,87,97,30,40,60,88,106
15,20,73,85,101,27,29,33,47,89
72,85,87,89,112,7,17,38,48,86
39,54,55,64,66,13,51,80,86,92
41,47,68,71,95,18,60,76,87,97
17,26,56,71,75,7,28,51,74,87
8,20,41,44,103,1,26,55,71,98
5,29,35,87,102,4,20,42,84,98
22,68,71,72,86,7,11,38,79,93
16,37,51,67,106,5,70,95,104,107
7,30,41,49,69,15,31,43,77,83
4,23,33,56,87,17,19,45,90,91
19,20,64,74,96,7,18,55,73,87
28,74,87,88,93,13,30,54,55,107
15,92,99,108,112,13,18,25,27,60
44,49,62,86,92,5,40,73,74,99
50,51,57,59,75,9,20,47,68,76
2,30,41,68,106,20,38,52,53,64
49,65,72,84,107,8,30,39,51,96
20,29,67,68,74,11,31,54,78,101
7,39,46,67,101,26,35,50,71,93
4,22,26,68,99,6,20,49,51,92
11,23,36,65,75,29,60,63,106,110
5,7,49,72,98,22,40,51,56,73
16,25,44,47,69,9,26,29,68,106
10,87,98,99,107,20,28,54,58,74
30,35,47,99,101,7,15,20,36,43
7,12,39,50,110,16,49,71,86,93
7,17,26,72,99,5,11,62,83,93
30,60,72,74,80,20,22,38,66,87
20,59,69,86,106,7,35,36,68,81
20,43,66,67,96,31,41,73,101,109
15,27,32,54,65,7,20,43,51,75
25,29,48,52,60,39,59,71,86,101
27,39,70,86,96,9,29,46,47,50
28,36,40,50,80,20,35,54,55,107
28,35,50,65,86,20,25,81,91,110
11,13,40,83,91,4,34,38,52,86
20,49,55,87,93,5,11,28,29,100
1,20,47,69,84,22,27,29,67,85
48,50,61,65,86,2,30,71,72,80
26,35,39,73,98,54,55,74,86,88
55,56,76,79,87,20,39,57,60,72
7,25,41,50,74,30,46,47,72,85
15,27,42,88,98,6,20,68,96,103
68,72,86,97,100,7,25,48,51,91
16,37,44,65,74,10,20,51,87,95
39,49,86,88,101,7,17,25,46,71
16,42,50,55,97,9,27,69,74,96
7,26,41,43,106,3,47,55,58,89
13,55,79,80,86,3,12,87,88,97
11,31,48,55,88,29,45,66,80,98
6,20,30,47,56,41,64,82,89,101
7,17,51,95,101,25,30,35,60,71
13,21,72,86,92,17,25,54,66,73
6,9,11,16,68,31,42,48,74,92
39,64,79,94,97,9,11,13,50,96
31,51,68,99,106,40,48,74,85,87
2,31,47,79,96,13,16,77,78,86
7,12,25,100,112,30,51,75,93,106
20,39,48,51,66,2,22,26,67,97
11,28,30,39,50,7,12,75,106,112
3,20,25,41,70,26,39,42,50,80
13,31,63,90,96,9,29,74,92,101
62,65,68,74,81,10,13,26,58,69
55,73,86,88,97,49,51,89,92,95
3,41,47,87,97,8,26,46,65,89
15,47,52,55,86,13,16,68,69,77
9,13,69,71,87,7,41,50,55,74
20,48,74,84,96,6,41,47,64,79
5,45,49,56,85,10,23,88,92,103
12,26,49,51,90,39,58,61,72,86
55,72,73,103,111,8,30,34,38,57
15,65,99,101,103,46,61,64,84,93
2,21,25,27,35,6,11,13,20,87
18,35,37,84,102,6,17,28,85,101
9,23,55,76,87,25,26,50,99,106
17,23,53,63,88,47,54,58,62,73
26,28,43,54,110,41,50,60,98,109
5,7,25,39,72,1,21,26,51,112
10,31,57,64,84,6,29,43,86,92
16,37,43,47,50,31,33,69,88,89
49,62,73,79,88,46,54,72,89,92
16,65,68,73,74,49,66,69,79,96
8,51,65,68,86,7,21,31,69,93
2,11,50,63,114,5,16,54,89,97
9,13,16,32,68,42,74,77,79,80
1,20,26,65,96,17,22,57,86,95
